"YEAR","MONTH","DAY","STID","TMAX","TMIN","HAVG","WSMX","WSMN","RAIN","SAVG"
2016,3,5,TISH,74.61,38.40,57.04,10.75,1.11,0.00,54.90
2016,3,5,TULN,73.22,43.80,37.84,11.12,0.62,0.00,51.19
2016,3,6,ALTU,69.96,50.14,77.04,29.28,8.20,0.00,54.94
2016,3,6,BEAV,82.15,52.66,43.68,29.08,9.40,0.00,54.17
2016,3,6,NRMN,71.04,52.21,59.54,23.40,4.77,0.00,53.34
2016,3,6,TISH,71.87,45.92,64.08,26.93,1.13,0.00,55.99
2016,3,6,TULN,74.71,48.42,42.99,25.01,0.00,0.00,52.12
2016,3,7,ALTU,77.14,59.11,84.06,26.82,4.43,0.00,58.29
2016,3,7,BEAV,79.09,49.19,27.90,27.00,6.35,0.00,55.62
2016,3,7,NRMN,64.27,58.89,86.03,26.06,7.19,0.10,55.57
2016,3,7,TISH,63.70,57.45,90.38,21.79,2.72,1.30,57.92
2016,3,7,TULN,68.61,58.93,72.93,27.25,8.77,0.35,54.69
2016,3,8,ALTU,67.98,54.09,84.82,29.42,0.76,1.04,59.62
2016,3,8,BEAV,62.02,38.82,64.02,18.70,0.31,0.00,54.24
2016,3,8,NRMN,64.63,52.16,90.19,23.89,0.38,0.82,56.57
2016,3,8,TISH,62.17,54.34,96.55,22.91,0.00,0.97,58.36
2016,3,8,TULN,62.47,54.46,90.26,18.25,0.67,1.10,55.51
2016,3,9,ALTU,64.02,51.89,90.75,15.60,3.83,0.00,59.03
2016,3,9,BEAV,66.69,29.85,63.33,14.78,0.00,0.00,53.74
2016,3,9,NRMN,-996.00,-996.00,93.23,11.79,0.33,0.01,55.83
2016,3,9,TISH,60.37,53.17,93.84,12.19,0.68,0.16,57.76
